"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U5";"XCVR_HC-SR04";1;"HC-SR04";;;
2;"S2,S1";"SW_8-1437565-1";2;"8-1437565-1";;;
3;"U4,U3";"SOIC127P600X175-16N";2;"MC74HC595AD";;;
4;"U2";"MODULE_ROB-14450";1;"ROB-14450";;;
5;"J3";"PinSocket_1x06_P2.54mm_Vertical";1;"Analog";;;
6;"J2";"PinSocket_1x10_P2.54mm_Vertical";1;"Digital/PWM";;;
7;"J4";"PinSocket_1x08_P2.54mm_Vertical";1;"Digital/PWM";;;
8;"J6";"JST_ZE_B03B-ZESK-D_1x03_P1.50mm_Vertical";1;"Conn_01x03_Socket";;;
9;"C2";"C_Axial_L3.8mm_D2.6mm_P7.50mm_Horizontal";1;"0.1uF";;;
10;"J8";"JST_ZE_B04B-ZESK-D_1x04_P1.50mm_Vertical";1;"Conn_01x04_Socket";;;
11;"J7";"JST_ZE_B08B-ZESK-D_1x08_P1.50mm_Vertical";1;"Conn_01x08_Socket";;;
12;"D1,D3";"LED_D3.0mm_FlatTop";2;"LED";;;
13;"J1";"PinSocket_1x08_P2.54mm_Vertical";1;"Power";;;
14;"U1";"CC56-12GWA";1;"CC56-12GWA";;;
15;"R2,R1";"R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical";2;"510";;;
16;"J10";"JST_ZE_B06B-ZESK-D_1x06_P1.50mm_Vertical";1;"Conn_01x06_Socket";;;
17;"R4,R3";"R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical";2;"10K";;;
18;"J5";"JST_ZE_B02B-ZESK-1D_1x02_P1.50mm_Vertical";1;"Conn_01x02_Socket";;;
19;"RV1";"Potentiometer_Bourns_3269P_Horizontal";1;"10K";;;
